source_geography_crosswalk_schema_version,source_schema_family,source_province_id,source_province_name,reference_province_id,reference_province_name,mapping_status,mapping_basis,source_geography_semantics_status
1.0.0,generic_geography,10,Catamarca,10,Catamarca,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,14,Córdoba,14,Córdoba,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,18,Corrientes,18,Corrientes,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,2,CABA,02,CABA,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,22,Chaco,22,Chaco,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,30,Entre Ríos,30,Entre Ríos,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,34,Formosa,34,Formosa,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,50,Mendoza,50,Mendoza,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,54,Misiones,54,Misiones,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,6,Buenos Aires,06,Buenos Aires,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,6,DESCONOCIDA,,,ambiguous,conflicting_source_id_name_mapping,source_geographic_semantics_undocumented
1.0.0,generic_geography,66,Salta,66,Salta,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,74,San Luis,74,San Luis,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,82,Santa Fe,82,Santa Fe,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,86,Santiago del Estero,86,Santiago del Estero,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,generic_geography,90,Tucumán,90,Tucumán,validated_exact,normalized_numeric_id_and_casefolded_exact_name,source_geographic_semantics_undocumented
1.0.0,indec_residence_geography,02,CABA,02,CABA,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,06,Buenos Aires,06,Buenos Aires,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,10,Catamarca,10,Catamarca,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,14,Córdoba,14,Córdoba,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,18,Corrientes,18,Corrientes,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,22,Chaco,22,Chaco,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,26,Chubut,26,Chubut,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,30,Entre Ríos,30,Entre Ríos,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,34,Formosa,34,Formosa,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,38,Jujuy,38,Jujuy,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,42,La Pampa,42,La Pampa,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
1.0.0,indec_residence_geography,46,La Rioja,46,La Rioja,validated_exact,normalized_numeric_id_and_casefolded_exact_name,field_name_supports_residence_but_operational_semantics_undocumented
